MAINNET||||||||||
BLOCKCHAIN|PROXY_APP|RPC|PPROF|P2P|PROMETHEUS|API|GRPC|GRPC-WEB|Other Metrics|Other Metrics
Gravity Bridge|16500|16700|1100|16600|16800|1200|1300|1400|1500/Orchestrator|1600
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
||||||||||
TESTNET||||||||||
BLOCKCHAIN|PROXY_APP|RPC|PPROF|P2P|PROMETHEUS|API|GRPC|GRPC-WEB|Other Metrics|Other Metrics
Celestia|26500|26700|2100|26600|26800|2200|2300|2400|2500|2600
Gitopia|26501|26701|2101|26601|26801|2201|2301|2401|2501|2601
OKP4|26502|26702|2102|26602|26802|2202|2302|2402|2502|2602
